,name,geometry,capability,country,city
1628,PrintGreen3D,POINT Z (-46.737877 -23.670232 0),threed,BR,Taboao da Serra
1629,Mundo Plaza Empresarial,POINT Z (-38.460857 -12.979006 0),threed,BR,Salvador
1631,RG Impressão 3D,POINT Z (-46.98664 -23.181592 0),threed,BR,Itupeva
1632,TDTEC,POINT Z (-47.887149 -15.786559 0),threed,BR,Brasilia
1633,Usina Fab Lab,POINT Z (-51.202682 -30.032096 0),threed,BR,Porto Alegre
1634,Adoro Robótica Makerspace,POINT Z (-43.180695 -22.941855 0),threed,BR,Rio de Janeiro
1635,MXPCB,POINT Z (-89.640086 21.04402 0),threed,MX,Komchen
1636,FabLab Cuiabá-BR,POINT Z (-47.434403 -23.47281 0),threed,BR,Sorocaba
1637,Oficina Maker,POINT Z (-63.853649 -8.753182000000001 0),threed,BR,Porto Velho
0,Furniture Operadora y Comercializadora SA de CV Duarte,POINT Z (-99.079695 19.391932 0),cnc,MX,Iztacalco
1,Corte Router CNC (Corte Digital) MAQUILA,POINT Z (-99.235434 18.949099 0),cnc,MX,Fraccionamiento Lomas de Ahuatlan
2,CNC GRODMART - CNC Router,POINT Z (-98.98044 19.830288 0),cnc,MX,Tizayuca
4,"Corte Router CNC Pachuca, FabDigital",POINT Z (-98.72698099999999 20.032134 0),cnc,MX,Rinconada de los Angeles
5,Maquilamos Corte En Router Digital Cnc,POINT Z (-99.10756000000001 19.350804 0),cnc,MX,Iztapalapa
6,CNC-México,POINT Z (-99.58066100000001 19.310754 0),cnc,MX,Santa Maria Totoltepec
7,EDM Corte CNC laser router plasma,POINT Z (-99.04621400000001 19.318727 0),cnc,MX,Iztapalapa
8,Corte CNC Router Tultitlan,POINT Z (-99.087091 19.676226 0),cnc,MX,San Pablo de las Salinas
9,Corte Router CNC - Corte Laser CO2 Toluca y Metepec,POINT Z (-99.687556 19.283844 0),cnc,MX,San Buenaventura
14,Maximus Design Corte Láser y Router CNC Express,POINT Z (-99.02542200000001 19.411679 0),cnc,MX,Colonia Gustavo Baz Prada
15,CORTE LASER Y ROUTER CNC,POINT Z (-99.23794599999999 19.422054 0),cnc,MX,Polanco
16,LA TIENDITA CNC LASER Y ROUTER,POINT Z (-99.067746 19.472618 0),cnc,MX,Venustiano Carranza
17,Corte y grabado láser / router CNC,POINT Z (-99.04808800000001 19.476291 0),cnc,MX,Venustiano Carranza
18,SISTEMAS ESPECIALIZADOS CNC S DE RL DE CV,POINT Z (-99.02043500000001 19.350959 0),cnc,MX,Los Reyes La Paz
19,"Taller MACHTE Corte Laser, Corte Router CNC e Impresión 3D",POINT Z (-99.071915 19.484789 0),cnc,MX,Gustavo A. Madero
20,Digital - Transformação de metais,POINT Z (-34.985388 -8.069649 0),cnc,BR,Jaboatao dos Guararapes
21,Ederson Berti,POINT Z (-48.61037 -27.586023 0),cnc,BR,Campinas
24,CNC Revolution,POINT Z (-99.229251 19.772747 0),cnc,MX,Santa Cruz del Monte
25,cnc+ctrl,POINT Z (-98.967833 19.39634 0),cnc,MX,Arenal
26,CNC,POINT Z (-99.60465600000001 19.287108 0),cnc,MX,Santa Maria Totoltepec
27,CNC MEXICO,POINT Z (-99.16437000000001 19.401359 0),cnc,MX,Benito Juarez
28,Cnc máquina,POINT Z (-99.183639 19.48717 0),cnc,MX,Azcapotzalco
29,CNC Constructores Texcoco,POINT Z (-98.880351 19.510606 0),cnc,MX,Texcoco de Mora
31,CNC Works,POINT Z (-99.09508599999999 19.622286 0),cnc,MX,Coacalco
32,cnc en México,POINT Z (-99.218574 19.576384 0),cnc,MX,Ciudad Lopez Mateos
33,Garagem Fab Lab,POINT Z (-46.653198 -23.524724 0),cnc,BR,Sao Paulo
38,Stanser Maquinaria CNC CDMX,POINT Z (-99.212362 19.516006 0),cnc,MX,Vista Hermosa
39,Corte Láser y Router CNC - COYOTE C,POINT Z (-99.193484 19.37551 0),cnc,MX,Alvaro Obregon
45,Mini CNC ROUTER,POINT Z (-97.92891899999999 18.992017 0),cnc,MX,Santiago Acatlan
46,Hardware .Inc,POINT Z (-97.111135 18.861825 0),cnc,MX,Fraccionamiento Valle Dorado
47,Corte Aqui Cnc Router,POINT Z (-106.109257 28.661157 0),cnc,MX,Chihuahua
48,Carpinteria Y Router CNC,POINT Z (-106.867898 28.404991 0),cnc,MX,Cuauhtemoc
49,C4tro,POINT Z (-103.404858 25.532708 0),cnc,MX,Torreon
50,CNCSER,POINT Z (-110.982393 29.108168 0),cnc,MX,Hermosillo
51,SMART CNC,POINT Z (-109.001841 25.81073 0),cnc,MX,Los Mochis
52,CNC SUMINISTROS E INGENIERIA,POINT Z (-103.419577 25.540251 0),cnc,MX,Torreon
53,"CNC Herramientas, Maquinarias y Servicios",POINT Z (-106.117703 28.695998 0),cnc,MX,Chihuahua
54,Diseño y Manufactura Integral,POINT Z (-106.353668 31.694805 0),cnc,US,Socorro
55,REmi corte y grabado laser,POINT Z (-110.9749 29.102129 0),cnc,MX,Hermosillo
56,Taller Vectorial Color Madera,POINT Z (-106.07001 28.668913 0),cnc,MX,Chihuahua
57,CNC Router Venta y Reparación - T.A. 4.0,POINT Z (-100.313787 25.686228 0),cnc,MX,Monterrey
59,CNC Router y Laser Saltillo,POINT Z (-100.991626 25.424047 0),cnc,MX,Saltillo
60,FEMTO CNC ROUTER-LASER-PLASMA,POINT Z (-99.99091900000001 25.592843 0),cnc,MX,Cadereyta
61,STANSER Maquinaria CNC,POINT Z (-100.247701 25.702754 0),cnc,MX,Guadalupe
62,REFTEC CNC DEL NORTE,POINT Z (-100.241897 25.786059 0),cnc,MX,Fraccionamiento Cosmopolis Octavo Sector
63,Innova Cnc Router,POINT Z (-100.950348 25.396198 0),cnc,MX,Saltillo
